Job Title,Company,Location,Salary,Experience,Posted Date,Job URL,Salary_num,City
Full Stack Developer,Zepcruit,Pune,"₹ 12,00,000 - 18,00,000",1,2,https://internshala.com/job/detail/full-stack-developer-job-in-pune-at-zepcruit1767595769,12.0,Pune
Java Full Stack Developer,AccioJob,Bangalore,"₹ 12,00,000 - 15,00,000",0,0,https://internshala.com/job/detail/fresher-java-full-stack-developer-job-in-bangalore-at-acciojob1767832225,12.0,Bangalore
Brand Manager,Brand Catapult,Delhi,"₹ 12,00,000",1,0,https://internshala.com/job/detail/brand-manager-job-in-delhi-at-brand-catapult1767764202,12.0,Delhi
Business Development Associate,Recruit CRM,Work from home,"₹ 12,00,000",0,1,https://internshala.com/job/detail/fresher-remote-business-development-associate-job-at-recruit-crm1767118718,12.0,Work from home
Sales Development Associate,Recruit CRM,Work from home,"₹ 12,00,000",0,3,https://internshala.com/job/detail/fresher-remote-sales-development-associate-job-at-recruit-crm1765796465,12.0,Work from home
Revenue Development Associate,Recruit CRM,Work from home,"₹ 12,00,000",0,3,https://internshala.com/job/detail/fresher-remote-revenue-development-associate-job-at-recruit-crm1765796184,12.0,Work from home
Management - Sales Fresher,Recruit CRM,Work from home,"₹ 12,00,000",0,3,https://internshala.com/job/detail/fresher-remote-management-sales-fresher-job-at-recruit-crm1765341493,12.0,Work from home
Business Development Executive – Veterinary Equipment & Veterinary Medicines (Global Markets),Furix Trade Venture Limited,Indore,"₹ 11,00,000 - 25,00,000",0,3,https://internshala.com/job/detail/fresher-business-development-executive--veterinary-equipment-veterinary-medicines-global-markets-job-in-indore-at-furix-trade-venture-limited1764582390,11.0,Indore
Product Manager,Boxnbiz Technologies Private Limited,Bangalore,"₹ 11,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/product-manager-job-in-bangalore-at-boxnbiz-technologies-private-limited1765873150,11.0,Bangalore
Growth Sales Executive (AI Automation Industry),Leads Loom,Work from home,"₹ 10,55,000 - 13,90,000",0,3,https://internshala.com/job/detail/fresher-remote-part-time-growth-sales-executive-ai-automation-industry-job-at-leads-loom1765448911,10.0,Work from home
Pre-sales Executive,Annex Solutions,Noida,"₹ 10,50,000 - 13,00,000",0,1,https://internshala.com/job/detail/fresher-pre-sales-executive-job-in-noida-at-annex-solutions1767097276,10.0,Noida
Business Development Manager,Collegehai,"Chennai,Chandigarh,Mumbai,Kochi,Jaipur,Bangalore","₹ 10,50,000",1,1,https://internshala.com/job/detail/business-development-manager-job-in-multiple-locations-at-collegehai1767071034,10.0,Chennai
